x,y,z,temperature
-25.13566021594872,-25.241159883852514,-18.97121371412754,4.376275
-24.81457164033853,-25.093252845108225,1.681174914299349,4.429921
-25.249249618121716,-25.211122060335605,7.372990797459424,4.490602
-24.901295985644293,-24.54348241272462,-21.14607685192079,4.257192
-24.82153590903999,-24.408370180293538,-17.306237806208742,4.433805
-25.098076204234847,-24.462328356282274,-3.7831134552064225,4.120779
-25.055399563552065,-24.54283416108142,-0.46077581675245466,3.8850470000000006
-24.846971389282768,-24.734570358134736,0.8150508371669956,4.426284
-24.844505120242516,-24.711637732962494,10.684759492546466,4.422234
-25.069977623561332,-24.079674257862237,8.564446607984245,4.570911
-24.76845139344288,-22.932934074566752,-5.062062183155835,4.702836
-25.164813546037383,-23.17823851665346,12.266446227356898,4.520619
-24.880527165978794,-22.909053790393415,14.305884623275924,4.526299
-25.122933331148968,-22.62052752661816,-11.058902715575192,4.831828
-24.820971242692178,-22.687732594845635,-9.340188026695305,4.425654
-25.007755141077986,-21.997178484701706,2.497104793727606,4.480386
-24.79113595464637,-21.618320633249493,-9.95722820471978,3.947088
-25.030496295246202,-20.8686061140788,-9.87419260505819,3.5048450000000004
-25.057684378738593,-20.558407491613895,13.807401047417509,4.394909
-24.998787050354725,-19.76211646066101,0.19399562208976995,4.442842
-24.875996490387156,-20.19198310317801,0.6158262940767885,4.490565
-25.180665777791727,-19.756898456169168,10.540301784680274,4.566257
-24.846401714655617,-19.92831821887257,10.841214696511855,4.518261
-25.079455287033362,-19.272490836754677,-20.37669695358242,4.375191
-25.008065083229557,-19.55186283871981,6.835570377806763,5.314255
-25.02372564795735,-19.308243627604185,8.235466844888345,5.391651
-25.076234263678646,-19.004430205064732,-7.90814895023227,4.14284
-25.2468518210224,-19.217221068455675,6.579407911598068,5.447383999999999
-25.021920381788032,-18.91799621575199,16.224067687783197,4.899874999999999
-24.815593278145656,-18.423788859072,7.440919195248752,5.5652479999999995
-25.096325121291123,-17.28907458645641,0.4743138165278566,4.91773
-24.80561557172094,-17.3424335814842,5.743087107753685,5.375195
-25.057915261319632,-16.78005753325848,-8.809446127339701,3.051837
-25.198741059094584,-16.457360456380847,-8.351299609526762,3.1948530000000006
-24.946005227480654,-16.55043080136961,6.924487591518893,5.4579889999999995
-25.12548172623906,-16.70295748906172,15.222516696542874,5.069909
-24.92057928692102,-16.20340353096639,22.68087508409143,5.750983
-25.191618793000163,-15.619056984011525,4.772589911395508,5.201725
-24.757759349502006,-15.279264850962617,5.413245211975215,5.219395
-24.941778037229994,-15.031754553184749,-5.009488595120083,4.220781
-25.048442214371697,-15.180514578126182,4.637591650752451,5.159585
-24.763719241765155,-15.216008696487531,12.843862710243894,5.115811
-25.03725071842207,-14.968196465881139,16.10095272355492,5.079929000000001
-24.95647400150611,-14.515984531657521,14.748400445778,5.20402
-24.94353714038628,-14.505605757109874,16.986445777701302,5.052231
-25.11735773329937,-13.90964915205972,-11.73988925963435,2.95096
